Country,Admin1_Name,Admin1_PCODE,Admin2_Name,Admin2_PCODE,City/Locations,Acronym,Organisation,Type,Sectors,Activity / Project,Status Activities,Comments,,
Guinea,Boke,GIN001,Boffa,GIN001001,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,UNICEF,United Nations Children's Fund,UN Agency,Coordination,Coordination,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Coordination,Coordination,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Logistique,Logistique,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Prise en charge clinique et psycologique,Prise en charge médicale,,,,
Guinea,Boke,GIN001,Boffa,GIN001001,,WHO,World Health Organization,UN Agency,Surveillance epidemiologique,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,ACF-E,Action Contre la Faim Espagne,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Communauté de Sant'Egidio,Communauté de Sant'Egidio-DREAM,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Communauté de Sant'Egidio,Communauté de Sant'Egidio-DREAM,International NGO,Surveillance epidemiologique,screening de cas suspects surtout parmi les PVVIH en assistance,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,EU,European Union,Donors,Surveillance epidemiologique,1 épidemiologue mobilisé à Conakry,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Communication/Mobilisation sociale,Provide community level information and health promotion,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Gestion des corps et desinfection,"Disinfect dwellings after confirmed Ebola cases, assist in the collection and removal of dead bodies",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Surveillance epidemiologique,Trace people who may have come into contact with those carrying the virus,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,IP-D,Intitut Pasteur  de Dakar,Laboratory,Surveillance epidemiologique,Testing of suspected patients,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MoH,Ministry of Health,Goverment,Communication/Mobilisation sociale,Communication,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MoH,Ministry of Health,Goverment,Coordination,Coordinates the overall humanitarian activities,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MoH,Ministry of Health,Goverment,Prise en charge clinique et psycologique,Prise en charge medicale,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MoH,Ministry of Health,Goverment,Surveillance epidemiologique,Surveillance de l’épidémie,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MSF,Medecins sans Frontieres,International NGO,Gestion des corps et desinfection,Coordination,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MSF,Medecins sans Frontieres,International NGO,Appui aux structures de sante,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MSF,Medecins sans Frontieres,International NGO,Communication/Mobilisation sociale,Raise awareness among the communities about the disease; Spreads health promotion messages ; Organize trainings for the medical staff and Red Cross volunteers;,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MSF,Medecins sans Frontieres,International NGO,Coordination,Coordination,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MSF,Medecins sans Frontieres,International NGO,Prise en charge clinique et psycologique,"Proveide psychological support to the families of the vitims and to medical staff Isolate and care for sick patients  Prise en charge medicale",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,MSF,Medecins sans Frontieres,International NGO,Surveillance epidemiologique,"Follow-up of people who have been in contact with the sick; Investigate alert of new potential cases; Refer suspected cases to the isolation units; ensure safe management of funeral pratices Surveillance de l’épidémie",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,OCHA,Office for the Coordination of Humanitarian Affairs,UN Agency,Coordination,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,OCPH,Organisation Catholique pour la Promotion Humaine,International NGO,Assistance a la population affectée par l'epidemie,Distribution des kits d’hygiène /distribution d’aliments aux personnes contactes,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,OCPH,Organisation Catholique pour la Promotion Humaine,International NGO,Communication/Mobilisation sociale,Communication/Sensibilisation,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Plan,PLAN,International Organization,Communication/Mobilisation sociale,Communication/sensibilisation. Prévention,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,PLAN,PLAN,International Organization,Appui aux structures de sante,Distribution des kits d’hygiène /distribution d’aliments aux personnes contactes,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,PSI,Population Services International,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Rio Tinto,Rio Tinto,Private,Communication/Mobilisation sociale,Support sensitization activities in affected areas;,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Save the Children,Save the Children,International NGO,Prise en charge clinique et psycologique,Prise en charge (psychosociale/Alimentaire et nutritionnelle),,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Save the Children,Save the Children,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,Save the Children,Save the Children,International NGO,Surveillance epidemiologique,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNDP,United Nations Development Programme,UN Agency,Coordination,"1- Promotion and integration of ER in humanitarian response; Strengthening of information management with special focus on ER; Gender mainstreaming and gender equality; Linkage of humanitarian processes to the longer term agenda.2- Support health sector coordination at national/local level and SEOCC (sub-regional platform)3- Reduce hardship conditions of Ebola response to workers and health, paramedical and medical workers in extreme conditions; tracing; community engagement; compensate for loss of income for affected individuals and victim families.4- Analyse the social-economic, social impact of the Ebola crisis; support Health Sector Review in light of Ebola response",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Assistance a la population affectée par l'epidemie,Medicines and equipment for the care as well as hygiene kits for women;,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Prise en charge clinique et psycologique,"Support rural radio in N'Zérékoré area. Inform and guide professional mediaCommunication",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Coordination,Membre des comités nationaux de crise (restreint et élargi) pour la coordination de la réponse à l’épidémie qui se réunissent quotidiennement à l’OMS,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Surveillance epidemiologique,,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Logistique,"Mise a disposition de deux cliniques mobiles , deux ambulances, 9 pickup",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Communication/Mobilisation sociale,Mise a disposition de kits d'hygiène de sensibilisation,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNFPA,United Nations Population Fund,UN Agency,Appui aux structures de sante,"Mise à disposition de 112 kits SR d'urgence de kit 6 A et B ; 40 kits de kit 2; 26 Kits de kit 1. 11 kits de kit 11 A etB,; 1 kit du kit 8 et Ddu kit 9 au comité de coordination , 1000 kits de dignités et 8000 kits d'hygiène .",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie,Prise en charge psychosociale,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,"Works closely with partners, includingMinistries of Health and the Red Cross, to carry outprevention and emergency preparedness activitiesacross the subregion.Provision of essential medicines, disinfectants, familyhygiene kits, supplies and equipment, and supportsCommunication for Development (C4D) media anddoor-to-door activities for prevention and responseefforts.Communication",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNICEF,United Nations Children's Fund,UN Agency,Coordination,Coordination,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,UNOPS,United Nations Office for Project Services,UN Agency,WASH,WASH,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,USAID,United States Agency for International Development,Donors,Coordination,Mobilized CDC Atlanta,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WFP,World Food Programme,UN Agency,Assistance a la population affectée par l'epidemie,"Food distributions in isolation centers and hospitals; transport and storage of medical equipment, telecommunications support",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WFP,World Food Programme,UN Agency,Logistique,Transport Aérien UNHAS pour les mouvements du personnel humanitaire et les partenaires impliqué dans la réponse Ebola vers les zones affectées.,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WHO,World Health Organization,UN Agency,Coordination,"Deployement of field laboratory support, and experts in anthropology, epidemiology, logistics, clinical case management, infection prevention and outbreak control. Support to the Ministry of health and to the coordination process  Coordination",,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WHO,World Health Organization,UN Agency,Logistique,Logistique,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WHO,World Health Organization,UN Agency,Prise en charge clinique et psycologique,Prise en charge médicale,,,,
Guinea,Conakry,GIN002,Conakry,GIN002005,,WHO,World Health Organization,UN Agency,Surveillance epidemiologique,,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,Communauté de Sant'Egidio,Communauté de Sant'Egidio-DREAM,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,Communauté de Sant'Egidio,Communauté de Sant'Egidio-DREAM,International NGO,Surveillance epidemiologique,screening de cas suspects surtout parmi les PVVIH en assistance,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,MoH,Ministry of Health,Goverment,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,MoH,Ministry of Health,Goverment,Coordination,Coordination,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,MoH,Ministry of Health,Goverment,Prise en charge clinique et psycologique,Prise en charge medicale,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,MoH,Ministry of Health,Goverment,Surveillance epidemiologique,Surveillance de l’épidémie,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,Plan,PLAN,International Organization,Communication/Mobilisation sociale,Communication/sensibilisation. Prévention,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,PSI,Population Services International,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie,Prise en charge psychosociale,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,UNICEF,United Nations Children's Fund,UN Agency,Coordination,Coordination,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,WHO,World Health Organization,UN Agency,Coordination,Coordination,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,WHO,World Health Organization,UN Agency,Logistique,Logistique,,,,
Guinea,Kindia,GIN005,Coyah,GIN005001,,WHO,World Health Organization,UN Agency,Prise en charge clinique et psycologique,Prise en charge médicale,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,MoH,Ministry of Health,Goverment,Communication/Mobilisation sociale,Communication,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,MoH,Ministry of Health,Goverment,Coordination,"Coordinates the overall humanitarian activitiesCoordination",,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,MoH,Ministry of Health,Goverment,Prise en charge clinique et psycologique,Prise en charge medicale,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,MoH,Ministry of Health,Goverment,Surveillance epidemiologique,Surveillance de l’épidémie,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,MSF,Medecins sans Frontieres,International NGO,Appui aux structures de sante,,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,MSF,Medecins sans Frontieres,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,Plan,PLAN,International Organization,Communication/Mobilisation sociale,Communication/sensibilisation. Prévention,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,Rio Tinto,Rio Tinto,Private,Communication/Mobilisation sociale,Support sensitization activities in affected areas;,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie,Prise en charge psychosociale,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,"Works closely with partners, includingMinistries of Health and the Red Cross, to carry outprevention and emergency preparedness activitiesacross the subregion.Provision of essential medicines, disinfectants, familyhygiene kits, supplies and equipment, and supportsCommunication for Development (C4D) media anddoor-to-door activities for prevention and responseefforts.Communication",,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,UNICEF,United Nations Children's Fund,UN Agency,Coordination,Coordination,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,USAID,United States Agency for International Development,Donors,Coordination,Mobilized CDC Atlanta,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,WHO,World Health Organization,UN Agency,Coordination,"Deployement of field laboratory support, and experts in anthropology, epidemiology, logistics, clinical case management, infection prevention and outbreak control. Support to the Ministry of health and to the coordination process  Coordination",,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,WHO,World Health Organization,UN Agency,Logistique,Logistique,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,WHO,World Health Organization,UN Agency,Prise en charge clinique et psycologique,Prise en charge médicale,,,,
Guinea,Faranah,GIN003,Dabola,GIN003001,,WHO,World Health Organization,UN Agency,Surveillance epidemiologique,,,,,
Guinea,Mamou,GIN007,Dalaba,GIN007001,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Mamou,GIN007,Dalaba,GIN007001,,PSI,Population Services International,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Mamou,GIN007,Dalaba,GIN007001,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie,Prise en charge psychosociale,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,MoH,Ministry of Health,Goverment,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,MoH,Ministry of Health,Goverment,Coordination,Coordinates the overall humanitarian activities,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,PLAN,PLAN,International Organization,Communication/Mobilisation sociale,Communication/sensibilisation. Prévention,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,Rio Tinto,Rio Tinto,Private,Communication/Mobilisation sociale,Support sensitization activities in affected areas;,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,"Works closely with partners, includingMinistries of Health and the Red Cross, to carry outprevention and emergency preparedness activitiesacross the subregion.Provision of essential medicines, disinfectants, familyhygiene kits, supplies and equipment, and supportsCommunication for Development (C4D) media anddoor-to-door activities for prevention and responseefforts.",,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie,Prise en charge psychosociale,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,USAID,United States Agency for International Development,Donors,Coordination,Mobilized CDC Atlanta,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Dinguiraye,GIN003002,,WHO,World Health Organization,UN Agency,Coordination,"Deployement of field laboratory support, and experts in anthropology, epidemiology, logistics, clinical case management, infection prevention and outbreak control. Support to the Ministry of health and to the coordination process",,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,Communauté de Sant'Egidio,Communauté de Sant'Egidio-DREAM,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,Communauté de Sant'Egidio,Communauté de Sant'Egidio-DREAM,International NGO,Surveillance epidemiologique,screening de cas suspects surtout parmi les PVVIH en assistance,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,MoH,Ministry of Health,Goverment,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,MoH,Ministry of Health,Goverment,Coordination,Coordination,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,MoH,Ministry of Health,Goverment,Prise en charge clinique et psycologique,Prise en charge medicale,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,MoH,Ministry of Health,Goverment,Surveillance epidemiologique,Surveillance de l’épidémie,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,Plan,PLAN,International Organization,Communication/Mobilisation sociale,Communication/sensibilisation. Prévention,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,PSI,Population Services International,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,UNFPA,United Nations Population Fund,UN Agency,Surveillance epidemiologique,mise à disposition de kits SR d'urgence et de produits SR,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,UNFPA,United Nations Population Fund,UN Agency,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,UNICEF,United Nations Children's Fund,UN Agency,Assistance a la population affectée par l'epidemie,"Prise en charge psychosociale Coordination",,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,WHO,World Health Organization,UN Agency,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,WHO,World Health Organization,UN Agency,Coordination,  Coordination,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,WHO,World Health Organization,UN Agency,Logistique,Logistique,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,WHO,World Health Organization,UN Agency,Prise en charge clinique et psycologique,Prise en charge médicale,,,,
Guinea,Kindia,GIN005,Dubreka,GIN005002,,WHO,World Health Organization,UN Agency,Surveillance epidemiologique,,,,,
Guinea,Faranah,GIN003,Faranah,GIN003003,,OCPH,Organisation Catholique pour la Promotion Humaine,International NGO,Assistance a la population affectée par l'epidemie,Distribution des kits d’hygiène /distribution d’aliments aux personnes contactes,,,,
Guinea,Faranah,GIN003,Faranah,GIN003003,,OCPH,Organisation Catholique pour la Promotion Humaine,International NGO,Communication/Mobilisation sociale,Communication/Sensibilisation,,,,
Guinea,Faranah,GIN003,Faranah,GIN003003,,PSI,Population Services International,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Faranah,GIN003,Faranah,GIN003003,,UNOPS,United Nations Office for Project Services,UN Agency,Sécurité,,,,,
Guinea,Kindia,GIN005,Forecariah,GIN005003,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Forecariah,GIN005003,,CU,Concern Universal,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Forecariah,GIN005003,,MSF,Medecins sans Frontieres,International NGO,Communication/Mobilisation sociale,Communication,,,,
Guinea,Kindia,GIN005,Forecariah,GIN005003,,PSI,Population Services International,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,Kindia,GIN005,Forecariah,GIN005003,,UNICEF,United Nations Children's Fund,UN Agency,Communication/Mobilisation sociale,,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,CAFOD,Catholic Agency For Overseas Development,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,CRG,Croix-Rouge Guinée,Red Cross Movement,Communication/Mobilisation sociale,Communication,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,CRG,Croix-Rouge Guinée,Red Cross Movement,Gestion des corps et desinfection,Gestion des corps et désinfection de l’itinéraire du malade,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,CRG,Croix-Rouge Guinée,Red Cross Movement,Logistique,400 volunteers deployed,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,CRS,Catholic Relief Services,International NGO,Communication/Mobilisation sociale,,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,EU,European Union,Donors,Appui aux structures de sante,Mobilisation et financement EM Lab,,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,FAO,Food and Agriculture Organization,UN Agency,Communication/Mobilisation sociale,"Formation, sensibilisation, distribution des kits",,,,
Guinea,N'Zerekore,GIN008,Gueckedou,GIN008006,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Communication/Mobilisation sociale,Provide community level information and health promotion,,,,
